caption,caption_source,image_0_url,image_1_url,label_0,label_1,num_example_per_prompt,model_0,model_1
"brittle, abstract emotion, no faces. highly detailed, digital painting, watercolor, soviet realism, engraving, artstation, concept art, smooth, sharp focus, vivid grunge, manga, illustration, unreal engine 5, 8 k, art by bilibin and kuvshinov and malevich and mucha",DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00000.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00001.jpg,1.0,0.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
"portrait of beautiful female model, perfect symmetrical pose, sharp, by irakli nadar with intricate detailed makeup candy makeupartist, dress made by patine noir, haunting, elite, elegant, ruan jia, dark, hyper detailed, concept art, by gustav klimt",DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00002.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00003.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
a hybrid animal of a cat and a human,DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00004.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00005.jpg,1.0,0.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
"a robot with long neon braids, body made from porcelain and brass, neon colors, 1 9 5 0 sci - fi, studio lighting, calm, ambient occlusion, octane render",DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00006.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00007.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
"girl with a full daisies head, surreal photography, flower field, sunset dramatic light, impressionist painting, colorful clouds, blue sky, digital painting, artstation, simon stalenhag",DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00008.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00009.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
baroque oil painting japanese manga light novel illustration lotr anime key visual regency portrait | young girl fitted black military uniform | long flowing blonde hair blue eyes | symmetrical perfect face fine detail delicate features quiet gaze | gapmoe kuudere moody lighting bokeh | trending pixiv fanbox | by greg rutkowski makoto shinkai takashi takeuchi studio ghibli,DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00010.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00011.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
"a paradise garden, a land of the dead, divine, hazy, volumetric lighting, snowy summits in the background, vast turquoise lake, lush flora, empty, spacetime bending, very detailed, serene, gold accents, washed out colors, beautiful digital artwork, photorealistic, master level composition, raytracing",DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00012.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00013.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
vintage photo of a black man wearing a black suit in rio de janeiro,DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00014.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00015.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
"web structure by artstation, deviantart, artspace, artspan, artslant, etsy, pixiv, artfol, behance, instagram, artbox, artube, artstar, artsy, minted, beeple, artgerm, alex grey, giger, abstract, surrealism, hyperrealism, symbolism, masterpiece, award - winning intricate",DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00016.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00017.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
ogre warrior wearing plated armor who is holding a battle axe in the style of warhammer fantasy : : head and torso drawing,DiffusionDB,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00018.jpg,/mnt/qb/work/bethge/bkr405/data/compositionality-datasets/text2image_evaluation/img/00019.jpg,0.0,1.0,1,stable-diffusion-v1.5,d3po-stable-diffusion-v1.5
